Id,Weekly_Sales
1_1_2012-11-02,31957.04410000001
1_1_2012-11-09,19647.231700000004
1_1_2012-11-16,20931.42410000002
1_1_2012-11-23,21460.875900000006
1_1_2012-11-30,21925.983200000017
1_1_2012-12-07,46139.70919999997
1_1_2012-12-14,44534.03739999997
1_1_2012-12-21,54059.84180000001
1_1_2012-12-28,22028.04099999998
1_1_2013-01-04,20437.71799999999
1_1_2013-01-11,17524.095199999985
1_1_2013-01-18,20884.0299
1_1_2013-01-25,18735.02259999999
1_1_2013-02-01,23986.044300000023
1_1_2013-02-08,43146.81150000001
1_1_2013-02-15,49995.7459
1_1_2013-02-22,21984.649699999998
1_1_2013-03-01,23160.774599999986
1_1_2013-03-08,22964.360099999987
1_1_2013-03-15,22693.554899999974
1_1_2013-03-22,23455.208899999983
1_1_2013-03-29,26700.576200000007
1_1_2013-04-05,36544.141900000024
1_1_2013-04-12,23076.088200000002
1_1_2013-04-19,18032.225899999994
1_1_2013-04-26,17807.26419999998
1_1_2013-05-03,21332.458499999993
1_1_2013-05-10,21753.51339999999
1_1_2013-05-17,20769.161600000003
1_1_2013-05-24,19426.387800000004
1_1_2013-05-31,19423.956700000002
1_1_2013-06-07,19384.836300000014
1_1_2013-06-14,19400.79760000002
1_1_2013-06-21,18957.542100000006
1_1_2013-06-28,18807.939300000016
1_1_2013-07-05,19342.961500000005
1_1_2013-07-12,19057.886200000004
1_1_2013-07-19,19622.922600000005
1_1_2013-07-26,18987.743500000004
1_2_2012-11-02,46272.707300000024
1_2_2012-11-09,45138.00919999998
1_2_2012-11-16,46368.78730000001
1_2_2012-11-23,47353.5017
1_2_2012-11-30,46557.10780000001
1_2_2012-12-07,45806.450099999995
1_2_2012-12-14,54490.45419999999
1_2_2012-12-21,58783.97470000001
1_2_2012-12-28,45415.79819999998
1_2_2013-01-04,42858.40069999999
1_2_2013-01-11,43542.81700000003
1_2_2013-01-18,43368.696299999996
1_2_2013-01-25,42868.69410000002
1_2_2013-02-01,49516.24430000004
1_2_2013-02-08,48680.11100000001
1_2_2013-02-15,48123.06490000001
1_2_2013-02-22,48027.67060000001
1_2_2013-03-01,48269.5557
1_2_2013-03-08,47248.21169999999
1_2_2013-03-15,46859.08309999999
1_2_2013-03-22,46761.320599999955
1_2_2013-03-29,46639.88729999997
1_2_2013-04-05,47288.68789999998
1_2_2013-04-12,46859.023099999984
1_2_2013-04-19,46523.8287
1_2_2013-04-26,47107.96099999999
1_2_2013-05-03,46405.3067
1_2_2013-05-10,46863.934899999964
1_2_2013-05-17,45113.467399999994
1_2_2013-05-24,45410.52579999998
1_2_2013-05-31,46551.93049999999
1_2_2013-06-07,45915.95289999998
1_2_2013-06-14,46210.00229999999
1_2_2013-06-21,46051.82430000002
1_2_2013-06-28,44371.78730000001
1_2_2013-07-05,45783.64340000004
1_2_2013-07-12,45333.27580000004
1_2_2013-07-19,45660.04580000003
1_2_2013-07-26,45921.97410000002
1_3_2012-11-02,10233.314200000003
1_3_2012-11-09,10325.429400000003
